"periodo","Turistas_var","TCR_var","Salario_var","PIB","PIB_var","cepo"
2018-04-01,0.0779273453081577,-0.00295566502463051,0.0420933137023371,1.6,0.016,0
2018-05-01,-0.00256398333691754,0.0762867647058823,-0.0341206316164863,1.6,0.016,0
2018-06-01,-0.0230068338962701,0.144463667820069,-0.110140180500141,1.6,0.016,0
2018-07-01,0.0708546719208163,0.0735930735930736,-0.0232552548941585,1.6,0.016,0
2018-08-01,0.11505770803371,0.0739167374681394,-0.0216699694630965,1.6,0.016,0
2018-09-01,0.0632309161911556,0.228488792480116,-0.224048552550789,1.6,0.016,0
2018-10-01,-0.00179144421569123,0.238719068413392,-0.241194421275175,1.5,0.015,0
2018-11-01,0.144336352385267,0.215170278637771,-0.204622937583178,1.4,0.014,0
2018-12-01,0.198236413323717,0.214173228346457,-0.203758869206149,1.3,0.013,0
2019-01-01,0.318380875102915,0.150512214342002,-0.115298427184395,1.233333333,0.01233333333,0
2019-02-01,0.115273401692712,0.143642072213501,-0.108069389407813,1.166666667,0.01166666667,0
2019-03-01,0.43285434951317,0.1578125,-0.128443500938628,1.1,0.011,0
2019-04-01,0.174159037384896,0.205790297339593,-0.20151919244413,1.1,0.011,0
2019-05-01,0.250863622407293,0.135135135135135,-0.107869882379672,1.1,0.011,0
2019-06-01,0.23532485656479,0.0632090761750406,-0.0269736782716849,1.1,0.011,0
2019-07-01,0.0979581166954959,0.0358931552587646,-0.000736926707333058,1.066666667,0.01066666667,0
2019-08-01,0.0886440143740754,0.122950819672131,-0.103207881013241,1.033333333,0.01033333333,0
2019-09-01,0.0494739833732753,-0.0214180206794683,0.0500359584149337,1,0.01,0
2019-10-01,0.0437217892416094,-0.0155210643015521,0.0461158682503018,1.033333333,0.01033333333,0
2019-11-01,-0.0635503303749825,0.0159939070830162,0.0171943668756359,1.066666667,0.01066666667,0
2019-12-01,-0.00544811842720252,0.0155038759689922,0.0192932536962988,1.1,0.011,0
2020-01-01,-0.0955283994221644,-0.0127693535514765,0.0505461181188116,1.033333333,0.01033333333,0
2020-02-01,0.140922923641572,-0.0634390651085143,0.0994086267348637,0.966666667,0.00966666667,0
